index,Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
282,5BM1736,416384,422224,2,22/11/2018,2302,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Goods vehicle 7.5 tonnes mgw and over,Driver or rider,Slight,Male,48,Car,Vehicle or pillion passenger,Slight,Male,32,,,,,,,,,,,,,,,,,,,,
283,5BO1706,411439,421479,2,24/11/2018,2002,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,60,Car,Vehicle or pillion passenger,Serious,Male,34,,,,,,,,,,,,,,,,,,,,
284,5BR0311,410262,425885,2,27/11/2018,825,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,59,Car,Driver or rider,Serious,Female,62,,,,,,,,,,,,,,,,,,,,
285,5BR0388,412098,419877,2,27/11/2018,915,Motorway,Wet / Damp,Daylight: street lights present,Fog or mist – if hazard,Car,Driver or rider,Slight,Male,51,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
286,5BR1200,412077,425528,1,27/11/2018,1700,Unclassified,Wet / Damp,Darkness: no street lighting,Raining with high winds,Car,Pedestrian,Slight,Male,80,,,,,,,,,,,,,,,,,,,,,,,,,
287,5BU1191,407943,424643,3,30/11/2018,1420,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,23,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
288,5C11015,409322,424722,1,30/11/2018,1330,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight,Female,62,,,,,,,,,,,,,,,,,,,,,,,,,
289,5C20119,409267,425830,2,02/12/2018,105,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Taxi/Private hire car,Driver or rider,Serious,Male,58,Taxi/Private hire car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
290,5C21327,399007,414841,3,02/12/2018,1644,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,23,Car,Vehicle or pillion passenger,Slight,Male,24,Car,Vehicle or pillion passenger,Slight,Male,29,,Vehicle or pillion passenger,Slight,Male,23,,Driver or rider,Slight,Male,24,,Vehicle or pillion passenger,Slight,Male,24
291,5C41381,417825,421057,2,04/12/2018,1700,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,65,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
292,5C51152,411570,420824,2,05/12/2018,1618,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,59,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
293,5C60363,407601,425542,1,06/12/2018,850,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Slight,Female,9,,,,,,,,,,,,,,,,,,,,,,,,,
294,5C81534,406210,423680,2,08/12/2018,1910,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,10,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
295,5CB0655,413609,421190,2,11/12/2018,1143,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Female,31,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
296,5CB1156,409564,423067,2,11/12/2018,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,33,Car,Vehicle or pillion passenger,Slight,Female,5,,,,,,,,,,,,,,,,,,,,
297,5CB1505,409246,424897,1,11/12/2018,1805,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,31,,,,,,,,,,,,,,,,,,,,,,,,,
298,5CC0275,411661,420777,1,12/12/2018,754,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,55,,,,,,,,,,,,,,,,,,,,,,,,,
299,5CC0433,409241,424957,1,12/12/2018,1930,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,29,,,,,,,,,,,,,,,,,,,,,,,,,
300,5CE0068,408579,427649,2,14/12/2018,103,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Fatal,Male,36,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
301,5CG0091,409220,425221,1,16/12/2018,55,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,45,,,,,,,,,,,,,,,,,,,,,,,,,
302,5CG1160,410742,420830,1,16/12/2018,1617,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,28,,,,,,,,,,,,,,,,,,,,,,,,,
303,5CH0518,405886,423502,1,17/12/2018,1031,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Pedestrian,Slight,Female,56,,,,,,,,,,,,,,,,,,,,,,,,,
304,5CJ1583,407385,428042,1,19/12/2018,1915,A,Wet / Damp,Darkness: street lights present but unlit,Raining without high winds,Car,Pedestrian,Serious,Male,13,,,,,,,,,,,,,,,,,,,,,,,,,
305,5CL1609,406621,423814,1,21/12/2018,1900,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,59,,,,,,,,,,,,,,,,,,,,,,,,,
306,5CM0536,405748,423389,2,22/12/2018,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,67,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
307,5CN1599,411578,425559,1,23/12/2018,1500,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Pedestrian,Slight,Female,22,,,,,,,,,,,,,,,,,,,,,,,,,
308,5CO0885,408232,428083,2,24/12/2018,1410,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,54,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
309,5CR1570,407934,427422,1,27/12/2018,1930,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,24,,,,,,,,,,,,,,,,,,,,,,,,,
310,5CT0620,408742,424811,2,29/12/2018,1115,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,23,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
311,5CU1368,406423,423765,1,29/12/2018,2030,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,70,,Pedestrian,Slight,Female,70,,,,,,,,,,,,,,,,,,,,
312,5CV1342,407951,424326,1,31/12/2018,1830,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,15,,Pedestrian,Slight,Female,13,,,,,,,,,,,,,,,,,,,,
313,6121478,407905,424216,2,31/12/2018,2359,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,37,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
